rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,lastName,firstName,title,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
11,80500,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,,False,U,F,Bettencourt Meyers,Francoise,,,,1953.0,7.0,10.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
12,79200,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,Alphabet,True,D,M,Page,Larry,Cofounder and board member,California,West,1973.0,3.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
13,77300,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,,True,U,M,Ortega,Amancio,,,,1936.0,3.0,28.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
14,76000,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,Alphabet,True,D,M,Brin,Sergey,Cofounder and board member,California,West,1973.0,8.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
15,68000,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,,True,U,M,Zhong,Shanshan,,,,1954.0,12.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
16,64400,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,True,D,M,Zuckerberg,Mark,Cofounder,California,West,1984.0,5.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,59000,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",False,D,M,Koch,Charles,Chairman and CEO,Kansas,Midwest,1935.0,11.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,59000,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,,False,D,F,Koch,Julia,,New York,Northeast,1962.0,4.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
19,58800,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",False,D,M,Walton,Jim,Chairman and CEO,Arkansas,South,1948.0,6.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
20,57600,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,D,M,Walton,Rob,Director,Arkansas,South,1944.0,10.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
21,56700,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,D,F,Walton,Alice,Philanthropist,Texas,South,1949.0,10.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
22,54400,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,False,U,M,Thomson,David,Chairman,,,1957.0,6.0,12.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
23,50100,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,True,D,M,Dell,Michael,Chairman and CEO,Texas,South,1965.0,2.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
24,47200,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,,True,D,M,Adani,Gautam,,,,1962.0,6.0,24.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
25,45100,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,D,M,Knight,Phil,Chairman,Oregon,West,1938.0,2.0,24.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
26,45000,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,ByteDance,True,D,M,Zhang,Yiming,Founder,,,1984.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
27,42900,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,,False,D,M,Schwarz,Dieter,,,,1939.0,9.0,24.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
28,40100,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,,True,D,M,Pinault,François,,,,1936.0,8.0,21.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
29,39100,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,,False,U,M,Kuehne,Klaus-Michael,,,,1937.0,6.0,2.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
30,38900,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,False,U,M,Ferrero,Giovanni,,,,1964.0,9.0,21.0,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936
31,38300,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,False,U,F,Mars,Jacqueline,,Virginia,South,1939.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
31,38300,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,,False,U,M,Mars,John,,Wyoming,South,1935.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
33,38000,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,U,M,Li,Ka-shing,Senior Advisor,,,1928.0,6.0,13.0,,,,,,,,,,,
34,35300,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,D,M,Ma,Huateng,Chairman and CEO,,,1971.0,10.0,29.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
35,35000,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,False,U,F,Adelson,Miriam,,Nevada,West,1945.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35,35000,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,U,M,Griffin,Ken,Founder & CEO,Florida,South,1968.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
37,34700,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,False,N,M,Mateschitz,Mark,,,,1992.0,5.0,7.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
38,33400,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,,True,D,M,Zeng,Robin,,,,1969.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
39,32600,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,True,U,M,Yanai,Tadashi,,,,1949.0,2.0,7.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
40,32100,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,,True,D,M,Blavatnik,Len,,,,1957.0,6.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
41,31600,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,Wertheimer,Alain,,New York,Northeast,1948.0,8.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
41,31600,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,Wertheimer,Gerard,,New York,Northeast,1951.0,1.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
43,31200,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,M,Aponte,Gianluigi,,,,1940.0,6.0,27.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
43,31200,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,F,Aponte-Diamant,Rafaela,,,,1945.0,3.0,26.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
45,30200,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,,True,U,M,Huang,Colin Zheng,,,,1980.0,2.0,2.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
46,29700,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,True,U,M,Wuerth,Reinhold,,,,1935.0,4.0,20.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
47,29500,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,D,M,Lee,Shau Kee,,,,1928.0,1.0,29.0,,,,,,,,,,,
48,28500,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,,True,U,M,Yass,Jeff,,Pennsylvania,Northeast,1958.0,7.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
49,28100,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,D,M,Simons,Jim,Founder,New York,Northeast,1938.0,4.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
50,27800,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,D,M,Schwarzman,Stephen,Chairman and CEO,New York,Northeast,1947.0,2.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
51,27400,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,False,U,F,Klatten,Susanne,,,,1962.0,4.0,28.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
52,27000,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,D,F,Rinehart,Gina,Executive Chairman,,,1954.0,2.0,9.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
53,26700,William Ding,51.0,China,Hangzhou,Online games,Technology,China,,True,U,M,Ding,William,,,,1971.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
54,26600,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,False,D,M,Larrea Mota Velasco,Germán,,,,1953.0,10.0,26.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
55,25600,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,,True,D,M,Nadar,Shiv,,,,1945.0,7.0,18.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
56,25500,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,,True,U,M,Low Tuck,Kwong,,,,1948.0,4.0,17.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
57,25300,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,True,U,M,Peterffy,Thomas,,Florida,South,1944.0,9.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
58,25200,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,True,U,M,Melnichenko,Andrey,,,,1972.0,3.0,8.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
59,24600,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,,False,U,M,Quandt,Stefan,,,,1966.0,5.0,9.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
60,24400,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,,False,D,F,Scott,MacKenzie,Philanthropist,Washington,West,1970.0,4.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
61,24200,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,False,U,M,Hartono,R. Budi,,,,1941.0,1.0,1.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
62,23700,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,,True,U,M,Potanin,Vladimir,,,,1961.0,1.0,3.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
63,23500,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,,True,U,M,Ma,Jack,,,,1964.0,9.0,10.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
64,23400,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,,True,D,M,He,Xiangjian,,,,1942.0,8.0,11.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
65,23100,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,,False,U,F,Fontbona,Iris,,,,1943.0,1.0,1.0,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
65,23100,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,,False,U,M,Hartono,Michael,,,,1939.0,10.0,2.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
67,22900,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,U,M,Ratcliffe,James,,,,1953.0,1.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
68,22600,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,,False,D,M,Poonawalla,Cyrus,,,,1941.0,5.0,11.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
69,22400,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,True,U,M,Son,Masayoshi,CEO,,,1957.0,8.0,11.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
70,22100,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,,True,U,M,Lisin,Vladimir,,,,1956.0,5.0,7.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
71,22000,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,,False,D,M,Besnier,Emmanuel,,,,1970.0,9.0,18.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
72,21600,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,False,U,F,Johnson,Abigail,CEO,Massachusetts,Northeast,1961.0,12.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
72,21600,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,,True,U,M,Mikhelson,Leonid,,,,1955.0,8.0,11.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
74,21200,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,,False,U,M,Walton,Lukas,,Illinois,Midwest,1986.0,9.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
74,21200,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,,True,D,M,Wang,Wei,,,,1970.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
76,21100,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,True,U,M,Huang,Jensen,CEO & President,California,West,1963.0,2.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,21000,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,False,D,M,Lauder,Leonard,Chairman Emeritus,New York,Northeast,1933.0,3.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,21000,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,,True,D,M,Takizaki,Takemitsu,,,,1945.0,6.0,10.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
79,20900,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,,True,U,M,Mordashov,Alexey,,,,1965.0,9.0,26.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
80,20500,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,,True,U,M,Alekperov,Vagit,,,,1950.0,9.0,1.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
81,20200,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,,True,D,M,Frist,Thomas,,Tennessee,South,1938.0,8.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
82,19600,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,,True,U,M,Forrest,Andrew,,,,1961.0,11.0,18.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
83,19100,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,True,D,M,Dalio,Ray,Founder & Co-Chief Investment Officer,Connecticut,Northeast,1949.0,8.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
84,19000,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,,True,D,M,Li,Eric,,,,1963.0,6.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
84,19000,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,,True,U,M,Wang,Wenyin,,,,1968.0,3.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
86,18900,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,,False,U,M,Ofer,Eyal,,,,1950.0,6.0,2.0,,,"$7,184,844,193 ",,,,,,38964.0,43.7384176,7.4246158
86,18900,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,,True,D,M,Qin,Yinglin,,,,1965.0,4.0,17.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
88,18700,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,,True,D,M,Wang,Chuanfu,,,,1966.0,2.0,15.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
89,18500,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,True,U,M,Hamm,Harold,Chairman and CEO,Oklahoma,South,1945.0,12.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,True,U,M,Tepper,David,President and Founder,Florida,South,1957.0,9.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,Russia,,True,U,M,Timchenko,Gennady,,,,1952.0,11.0,9.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
92,18000,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,,True,D,M,Gilbert,Daniel,,Michigan,Midwest,1962.0,1.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
93,17700,Lakshmi Mittal,72.0,United Kingdom,London,Steel,Metals & Mining,India,ArcelorMittal (ADR),False,D,M,Mittal,Lakshmi,Chairman and CEO,,,1950.0,6.0,15.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
94,17500,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,True,U,M,Cohen,Steve,Founder,Connecticut,Northeast,1956.0,6.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
94,17500,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,United States,Icahn Capital Management,True,U,M,Icahn,Carl,Founder,Florida,South,1936.0,2.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
